2026-02-22 00:39:57,523 | WARNING | app | 🛑 Application shutting down
2026-02-22 00:40:03,448 | INFO | app | 🚀 Starting application...
2026-02-22 00:40:03,450 | INFO | app | ✅ Database file found.
2026-02-22 00:40:03,467 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 00:41:17,425 | INFO | app | ➡️  GET http://127.0.0.1:8000/
2026-02-22 00:41:17,469 | INFO | app | ⬅️  Status: 200
2026-02-22 00:41:36,064 | INFO | app | ➡️  GET http://127.0.0.1:8000/auth/me
2026-02-22 00:41:36,094 | INFO | app | ⬅️  Status: 401
2026-02-22 00:41:36,642 | INFO | app | ➡️  GET http://127.0.0.1:8000/favicon.ico
2026-02-22 00:41:36,650 | INFO | app | ⬅️  Status: 404
2026-02-22 00:43:02,642 | INFO | app | ➡️  POST http://127.0.0.1:8000/auth/login
2026-02-22 00:43:03,320 | INFO | app | ⬅️  Status: 200
2026-02-22 00:44:36,465 | INFO | app | ➡️  GET http://127.0.0.1:8000/auth/login
2026-02-22 00:44:36,487 | INFO | app | ⬅️  Status: 405
2026-02-22 00:50:26,470 | WARNING | app | 🛑 Application shutting down
2026-02-22 00:50:35,362 | INFO | app | 🚀 Starting application...
2026-02-22 00:50:35,365 | INFO | app | ✅ Database file found.
2026-02-22 00:50:35,387 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:04:53,095 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:04:58,609 | INFO | app | 🚀 Starting application...
2026-02-22 01:04:58,629 | INFO | app | ✅ Database file found.
2026-02-22 01:04:58,641 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:06:16,875 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:06:21,556 | INFO | app | 🚀 Starting application...
2026-02-22 01:06:21,558 | INFO | app | ✅ Database file found.
2026-02-22 01:06:21,585 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:07:37,621 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:07:44,467 | INFO | app | 🚀 Starting application...
2026-02-22 01:07:44,469 | INFO | app | ✅ Database file found.
